project,analysis_key,date,project_version,revision
TIS:vtraffic,AVo808xlOQHNsFaZlXel,2015-07-28 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXek,2015-07-24 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXej,2015-03-01 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXei,2015-02-27 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeh,2015-02-18 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeg,2015-02-13 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXef,2015-02-04 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXee,2015-01-29 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXed,2015-01-21 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXec,2015-01-14 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeb,2015-01-09 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXea,2014-12-08 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeZ,2014-12-02 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeY,2014-11-24 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeX,2014-11-12 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeW,2014-11-05 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeV,2014-10-27 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeU,2014-10-15 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeT,2014-09-30 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeS,2014-09-24 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeR,2014-09-19 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeQ,2014-09-17 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeP,2014-08-29 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeO,2014-07-14 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeN,2014-06-17 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeM,2014-05-29 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeL,2014-04-29 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeK,2014-03-18 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeJ,2014-02-25 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeI,2014-01-19 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeH,2013-08-20 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeG,2013-07-02 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeF,2013-06-24 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeE,2013-05-22 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeD,2013-04-29 22:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeC,2013-03-25 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeB,2013-02-27 23:00:00,,
TIS:vtraffic,AVo808xlOQHNsFaZlXeA,2013-01-30 23:00:00,,
TIS:vtraffic,AVo808wIOQHNsFaZlXcN,2012-12-29 23:00:00,,
